customer,product,2004_qty_month1,2004_qty_month2,2004_qty_month3,2004_qty_month4,2004_qty_month5,2004_qty_month6,2004_qty_month7,2004_qty_month8,2004_qty_month9,2004_qty_month10,2004_qty_month11,2004_qty_month12,2004_qty_quarter1,2004_qty_quarter2,2004_qty_quarter3,2004_qty_quarter4,2004_Total_qty
T081680235,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T081780499,PRD3,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,15
T081850383,PRD2,0,0,0,0,0,0,30,30,0,0,0,0,0,0,60,0,60
T081860209,PRD1,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16
T081890131,PRD2,0,5,10,0,0,0,0,0,0,0,0,0,15,0,0,0,15
T084510231,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100264110,PRD3,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,30
T084611534,PRD2,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10
T084631558,PRD3,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,10
T084641002,PRD2,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,10
T084671489,PRD2,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,0,30
T084691552,PRD3,60,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,60
T084710279,PRD2,0,0,0,0,30,30,0,0,30,0,0,0,0,60,30,0,90
T084720682,PRD2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,7
T084751926,PRD2,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,20
T084751926,PRD1,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,80,80
T084760547,PRD2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5
T084761694,PRD2,0,0,0,0,0,0,0,150,0,0,0,0,0,0,150,0,150
T084771544,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T084780545,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T084781626,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T084800830,PRD2,23,5,16,16,0,0,25,30,20,0,0,0,44,16,75,0,135
T084810962,PRD2,0,0,0,0,40,0,0,0,0,0,0,0,0,40,0,0,40
T084821177,PRD1,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,20
PD00006265,PRD2,0,30,0,44,134,150,60,30,30,0,0,0,30,328,120,0,478
PD00006265,PRD1,0,0,14,14,60,164,74,90,240,60,120,0,14,238,404,180,836
T084831083,PRD2,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,30
T084840026,PRD2,0,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,30
T084841107,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T084842212,PRD1,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28,28
T084851081,PRD2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14,0,14
T084880866,PRD2,0,0,0,0,0,30,0,60,0,0,0,0,0,30,60,0,90
T084880866,PRD3,0,0,0,0,0,42,0,0,0,0,0,0,0,42,0,0,42
T087631456,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T087750892,PRD2,30,0,60,60,0,0,30,0,30,0,0,0,90,60,60,0,210
T087781623,PRD1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,6
T087811735,PRD1,0,0,0,0,0,0,0,120,0,0,0,0,0,0,120,0,120
T087830701,PRD2,21,0,5,0,30,15,0,10,0,0,0,0,26,45,10,0,81
T087830701,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T098580402,PRD2,0,0,30,30,30,30,30,30,30,0,0,0,30,90,90,0,210
T098600838,PRD2,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,30
T098670865,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T098680921,PRD3,0,30,30,180,60,0,60,0,0,0,0,0,60,240,60,0,360
T098710067,PRD3,0,0,0,0,0,0,360,0,0,0,0,0,0,0,360,0,360
T098710067,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T098721014,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T098781133,PRD2,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,30
T098781133,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T098790770,PRD3,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20
T098811253,PRD3,0,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,30
T098870712,PRD3,0,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,30
T098890760,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T103650140,PRD2,0,6,6,10,18,0,0,0,18,0,0,0,12,28,18,0,58
T103650140,PRD3,30,180,0,30,0,30,30,30,0,0,0,30,210,60,60,30,360
